,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
6113,2022-08-21 11:00:00,1080.0,770.0,24.7,854.5,4.54,4.0
6144,2022-08-22 06:00:00,1027.0,565.0,14.48,645.0,5.705,4.0
6248,2022-08-23 05:00:00,2039.0,572.0,31.05,734.0,9.99,3.0
6249,2022-08-23 06:00:00,2320.0,650.0,29.69,825.0,9.43,3.0
6259,2022-08-23 06:00:00,2274.0,782.0,28.305,964.5,7.58,4.0
6288,2022-08-23 07:00:00,1640.0,190.0,23.73,319.0,18.52,2.0
6289,2022-08-23 07:00:00,2820.0,619.5,27.244999,881.5,13.165,3.0
6290,2022-08-23 07:00:00,2510.0,972.5,26.665,1175.5,7.3199997,4.0
6456,2022-08-25 06:00:00,2143.0,480.0,34.41,654.0,11.815001,3.0
6641,2022-08-26 19:00:00,3071.0,417.0,23.49,675.0,16.36,2.0
6642,2022-08-26 19:00:00,1900.0,408.5,20.07,574.5,10.684999,3.0
6643,2022-08-26 19:00:00,701.0,370.0,12.08,431.0,5.825,4.0
6652,2022-08-26 20:00:00,1364.0,364.5,20.08,517.5,10.93,3.0
6653,2022-08-26 20:00:00,749.0,336.0,13.73,391.0,5.76,4.0
6800,2022-08-27 16:00:00,752.0,598.0,11.36,658.0,4.11,4.0
6814,2022-08-27 17:00:00,1129.0,386.5,15.16,491.0,11.1,3.0
6816,2022-08-27 17:00:00,752.0,438.0,11.21,519.0,6.29,4.0
6939,2022-08-28 17:00:00,4073.0,897.0,17.14,1246.0,11.315001,3.0
6941,2022-08-28 18:00:00,2654.0,960.0,15.79,1167.0,8.18,4.0
6950,2022-08-28 18:00:00,3606.0,918.0,17.48,1208.0,10.76,3.0
6963,2022-08-28 19:00:00,2446.0,881.0,13.6,1072.5,8.1,3.0
6964,2022-08-28 19:00:00,1794.0,933.0,11.57,1042.0,6.39,4.0
6973,2022-08-28 20:00:00,2820.0,786.0,18.28,1023.0,10.68,3.0
6974,2022-08-28 20:00:00,1993.0,807.0,15.434999,961.5,7.455,4.0
6988,2022-08-28 21:00:00,2059.0,614.0,18.015,775.5,9.795,3.0
6989,2022-08-28 21:00:00,1612.0,705.5,13.96,828.0,6.83,4.0
6999,2022-08-28 22:00:00,1612.0,507.0,18.61,634.0,9.38,3.0
7001,2022-08-28 22:00:00,752.0,559.5,12.14,619.0,4.69,4.0
